,,,,,,,E',,,,,,,,,,,,,
,f,T,E',E'',tan del,,T(°C),25,35,45,56,66,77,87,97,108,118,129,139,150
,0.54601,129.3,51.1455,18.4939,0.361594,,,,,,,,,,,,,,,
,0.96147,129,59.4681,21.6452,0.36398,,,,,,,,,,,,,,,
,1.69305,129,68.9214,25.0581,0.363575,,,,,,,,,,,,,,,
,2.98129,129.3,79.0982,28.6158,0.361776,,,,,,,,,,,,,,,
,5.24974,129,90.9952,31.7927,0.349389,,,,,,,,,,,,,,,
,9.24425,129.3,103.171,34.7434,0.336756,,,,,,,,,,,,,,,
,16.2782,129.3,115.766,37.4962,0.323896,,,,,,,,,,,,,,,
,28.6642,129,129.961,40.728,0.313385,,,,,,,,,,,,,,,
,50,129.2,140.82,41.4819,0.294575,,,,,,,,,,,,,,,
,0.1,139.5,15.6982,3.39607,0.216335,,,,,,,,,,,,,,,
,0.17609,139.5,17.6256,4.73001,0.268359,,,,,,,,,,,,,,,
,0.31008,139.8,20.1667,5.9698,0.296023,,,,,,,,,,,,,,,
,0.54601,139.5,22.9624,7.40722,0.32258,,,,,,,,,,,,,,,
,0.96147,139.6,25.9583,9.1474,0.352387,,,,,,,,,,,,,,,
,1.69305,139.7,29.5145,11.4054,0.386436,,,,,,,,,,,,,,,
,2.98129,139.8,33.8348,13.5631,0.400862,,,,,,,,,,,,,,,
,5.24974,139.4,39.0036,16.32,0.418423,,,,,,,,,,,,,,,
,9.24425,139.6,44.913,19.1436,0.426238,,,,,,,,,,,,,,,
,16.2782,139.7,52.1426,22.748,0.436266,,,,,,,,,,,,,,,
,28.6642,139.7,60.7615,25.6826,0.422679,,,,,,,,,,,,,,,
,50,139.6,70.5251,28.76,0.407798,,,,,,,,,,,,,,,
,0.1,149.9,12.1864,0.655529,0.0537918,,,,,,,,,,,,,,,
,0.17609,150.1,12.3904,0.999287,0.0806503,,,,,,,,,,,,,,,
,0.31008,150,12.7013,1.27647,0.100499,,,,,,,,,,,,,,,
,0.54601,150,13.1736,1.95531,0.148426,,,,,,,,,,,,,,,
,0.96147,149.9,14.0382,2.75031,0.195916,,,,,,,,,,,,,,,
,1.69305,149.9,14.8018,3.50803,0.236999,,,,,,,,,,,,,,,
,2.98129,149.9,16.2609,4.87017,0.299501,,,,,,,,,,,,,,,
,5.24974,150,17.6731,6.48028,0.366674,,,,,,,,,,,,,,,
,9.24425,149.8,19.9398,7.9059,0.396489,,,,,,,,,,,,,,,
,16.2782,150.1,22.6029,9.87773,0.437012,,,,,,,,,,,,,,,
,28.6642,150.2,26.2371,12.2181,0.465682,,,,,,,,,,,,,,,
,50,149.9,31.1211,15.0559,0.483783,,,,,,,,,,,,,,,
